CPU Usage - 21.06.2022 13:48:36
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|DapperInsert        |25000               |5,54                |
|DapperInsert        |25000               |5,35                |
|DapperInsert        |25000               |4,25                |
|DapperInsert        |25000               |5,73                |
|DapperInsert        |25000               |5,85                |
|DapperInsert        |25000               |5,63                |
|DapperInsert        |25000               |5,59                |
|DapperInsert        |25000               |4,01                |
|DapperInsert        |25000               |5,7                 |
|DapperInsert        |25000               |5,11                |
|DapperInsert        |25000               |5,48                |
|DapperInsert        |25000               |4,73                |
|DapperInsert        |25000               |4,35                |
|DapperInsert        |25000               |4,36                |
|DapperInsert        |25000               |4,44                |
|DapperInsert        |25000               |5,34                |
|DapperInsert        |25000               |5,2                 |
|DapperInsert        |25000               |4,66                |
|DapperInsert        |25000               |5,36                |
|DapperInsert        |25000               |4,4                 |
|DapperInsert        |25000               |4,67                |
|DapperInsert        |25000               |4,99                |
|DapperInsert        |25000               |3,81                |
|DapperInsert        |25000               |4,33                |
|DapperInsert        |25000               |5,64                |
|DapperInsert        |25000               |4,93                |
|DapperInsert        |25000               |4,05                |
|DapperInsert        |25000               |4,61                |
|DapperInsert        |25000               |5,34                |
|DapperInsert        |25000               |4,7                 |
|DapperInsert        |25000               |4,9                 |
|DapperInsert        |25000               |5,08                |
|DapperInsert        |25000               |4,86                |
|DapperInsert        |25000               |5,69                |
|DapperInsert        |25000               |4,64                |
|DapperInsert        |25000               |5,2                 |
|DapperInsert        |25000               |5,55                |
|DapperInsert        |25000               |5,72                |
|DapperInsert        |25000               |4,71                |
|DapperInsert        |25000               |5,32                |
|DapperInsert        |25000               |4,8                 |
|DapperInsert        |25000               |4,89                |
|DapperInsert        |25000               |5,54                |
|DapperInsert        |25000               |5,53                |
|DapperInsert        |25000               |5,35                |
|DapperInsert        |25000               |4,66                |
|DapperInsert        |25000               |4,64                |
|DapperInsert        |25000               |4,78                |
|DapperInsert        |25000               |4,83                |
|DapperInsert        |25000               |5,07                |
|DapperInsert        |25000               |4,6                 |
|DapperInsert        |25000               |5,36                |
|DapperInsert        |25000               |4,07                |
|DapperInsert        |25000               |5,16                |
|DapperInsert        |25000               |5,32                |
|DapperInsert        |25000               |4,98                |
|DapperInsert        |25000               |5,16                |
|DapperInsert        |25000               |4,73                |
|DapperInsert        |25000               |4,49                |
|DapperInsert        |25000               |4,48                |
|DapperInsert        |25000               |5,17                |
|DapperInsert        |25000               |4,65                |
|DapperInsert        |25000               |5,3                 |
|DapperInsert        |25000               |5,02                |
|DapperInsert        |25000               |4,68                |
|DapperInsert        |25000               |4,37                |
|DapperInsert        |25000               |4,04                |
|DapperInsert        |25000               |4,11                |
|DapperInsert        |25000               |5,54                |
|DapperInsert        |25000               |5,36                |
|DapperInsert        |25000               |4,76                |
|DapperInsert        |25000               |5,29                |
|DapperInsert        |25000               |4,13                |
|DapperInsert        |25000               |4,63                |
|DapperInsert        |25000               |4,22                |
|DapperInsert        |25000               |4,37                |
|DapperInsert        |25000               |5,3                 |
|DapperInsert        |25000               |4,36                |
|DapperInsert        |25000               |4,89                |
|DapperInsert        |25000               |4,78                |
|DapperInsert        |25000               |4,01                |
|DapperInsert        |25000               |5,04                |
|DapperInsert        |25000               |5,23                |
|DapperInsert        |25000               |4,97                |
|DapperInsert        |25000               |5,06                |
|DapperInsert        |25000               |5,22                |
|DapperInsert        |25000               |4,43                |
|DapperInsert        |25000               |4,32                |
|DapperInsert        |25000               |5,43                |
|DapperInsert        |25000               |5,17                |
|DapperInsert        |25000               |3,91                |
|DapperInsert        |25000               |5,12                |
|DapperInsert        |25000               |5,63                |
|DapperInsert        |25000               |5,8                 |
|DapperInsert        |25000               |5,88                |
|DapperInsert        |25000               |5,25                |
|DapperInsert        |25000               |3,94                |
|DapperInsert        |25000               |4,78                |
|DapperInsert        |25000               |5,33                |
|DapperInsert        |25000               |5,19                |
|DapperInsert        |25000               |4,73                |
|DapperInsert        |25000               |3,96                |
|DapperInsert        |25000               |4,77                |
|DapperInsert        |25000               |3,69                |
|DapperInsert        |25000               |4,63                |
|DapperInsert        |25000               |3,91                |
|DapperInsert        |25000               |5,44                |
|DapperInsert        |25000               |5,2                 |
|DapperInsert        |25000               |4,93                |
|DapperInsert        |25000               |4,06                |
|DapperInsert        |25000               |4,6                 |
|DapperInsert        |25000               |3,93                |
|DapperInsert        |25000               |4,21                |
|DapperInsert        |25000               |4,62                |
|DapperInsert        |25000               |4,18                |
|DapperInsert        |25000               |4,65                |
|DapperInsert        |25000               |4,03                |
|DapperInsert        |25000               |4,23                |
|DapperInsert        |25000               |3,81                |
|DapperInsert        |25000               |3,84                |
|DapperInsert        |25000               |3,89                |
|DapperInsert        |25000               |5,06                |
|DapperInsert        |25000               |4,2                 |
|DapperInsert        |25000               |4,6                 |
|DapperInsert        |25000               |2,92                |
|DapperInsert        |25000               |4,69                |
|DapperInsert        |25000               |3,87                |
|DapperInsert        |25000               |4,41                |
