CPU Usage - 21.06.2022 23:38:29
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|DapperJoin          |0                   |3,12                |
|DapperJoin          |0                   |0,61                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,81                |
|DapperJoin          |0                   |0,61                |
|DapperJoin          |0                   |0,61                |
|DapperJoin          |0                   |0,4                 |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,2                 |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,54                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,36                |
|DapperJoin          |0                   |0,36                |
|DapperJoin          |0                   |0,58                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,4                 |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,39                |
|DapperJoin          |0                   |0,58                |
|DapperJoin          |0                   |0,39                |
|DapperJoin          |0                   |0,57                |
|DapperJoin          |0                   |0,58                |
|DapperJoin          |0                   |0,57                |
|DapperJoin          |0                   |0,6                 |
|DapperJoin          |0                   |0,81                |
|DapperJoin          |0                   |0,62                |
|DapperJoin          |0                   |0,2                 |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,2                 |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,2                 |
|DapperJoin          |0                   |0,61                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,6                 |
|DapperJoin          |0                   |0,2                 |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,58                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,2                 |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,61                |
|DapperJoin          |0                   |0,39                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,58                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,59                |
|DapperJoin          |0                   |0,57                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,57                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,4                 |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,62                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,2                 |
|DapperJoin          |0                   |0,62                |
|DapperJoin          |0                   |0,81                |
|DapperJoin          |0                   |0,61                |
|DapperJoin          |0                   |0,62                |
|DapperJoin          |0                   |0,21                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,21                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,21                |
|DapperJoin          |0                   |0,62                |
|DapperJoin          |0                   |0,21                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,62                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,21                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,21                |
|DapperJoin          |0                   |0,21                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,42                |
|DapperJoin          |0                   |0,4                 |
|DapperJoin          |0                   |0,61                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,21                |
|DapperJoin          |0                   |0,42                |
|DapperJoin          |0                   |0,61                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,62                |
|DapperJoin          |0                   |0,62                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,55                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,57                |
|DapperJoin          |0                   |0,56                |
|DapperJoin          |0                   |0,39                |
|DapperJoin          |0                   |0,4                 |
|DapperJoin          |0                   |0,37                |
|DapperJoin          |0                   |0,58                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,78                |
|DapperJoin          |0                   |0,39                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,39                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,39                |
|DapperJoin          |0                   |0,59                |
|DapperJoin          |0                   |0,37                |
|DapperJoin          |0                   |0,56                |
|DapperJoin          |0                   |0,36                |
|DapperJoin          |0                   |0,36                |
|DapperJoin          |0                   |0,55                |
|DapperJoin          |0                   |0,57                |
|DapperJoin          |0                   |0,37                |
|DapperJoin          |0                   |0,37                |
|DapperJoin          |0                   |0,73                |
|DapperJoin          |0                   |0,36                |
|DapperJoin          |0                   |0,37                |
|DapperJoin          |0                   |0,56                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,19                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,38                |
|DapperJoin          |0                   |0,56                |
|DapperJoin          |0                   |0,39                |
|DapperJoin          |0                   |0,41                |
|DapperJoin          |0                   |0,21                |
|DapperJoin          |0                   |0,42                |
|DapperJoin          |0                   |0,21                |
|DapperJoin          |0                   |0,41                |
