CPU Usage - 18.06.2022 22:19:37
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|DapperOrder         |0                   |6,05                |
|DapperOrder         |0                   |1,34                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |2,05                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |2,06                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |1,37                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,37                |
|DapperOrder         |0                   |1,33                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,69                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |2,03                |
|DapperOrder         |0                   |1,34                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |0,69                |
|DapperOrder         |0                   |2,03                |
|DapperOrder         |0                   |0,67                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |0,69                |
|DapperOrder         |0                   |2,02                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |1,37                |
|DapperOrder         |0                   |1,34                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |2,03                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,34                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |0,67                |
|DapperOrder         |0                   |0,67                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,37                |
|DapperOrder         |0                   |2,03                |
|DapperOrder         |0                   |1,37                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,37                |
|DapperOrder         |0                   |2,03                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,69                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |0,69                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,37                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,37                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,69                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |1,37                |
|DapperOrder         |0                   |2,03                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,68                |
|DapperOrder         |0                   |1,35                |
|DapperOrder         |0                   |1,36                |
|DapperOrder         |0                   |0,69                |
|DapperOrder         |0                   |1,35                |
