CPU Usage - 19.06.2022 22:51:32
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|DapperUpdate        |25000               |4,6                 |
|DapperUpdate        |25000               |3,86                |
|DapperUpdate        |25000               |4,03                |
|DapperUpdate        |25000               |4,27                |
|DapperUpdate        |25000               |3,53                |
|DapperUpdate        |25000               |4,08                |
|DapperUpdate        |25000               |3,11                |
|DapperUpdate        |25000               |3,12                |
|DapperUpdate        |25000               |3,53                |
|DapperUpdate        |25000               |3,84                |
|DapperUpdate        |25000               |3,26                |
|DapperUpdate        |25000               |2,98                |
|DapperUpdate        |25000               |3,27                |
|DapperUpdate        |25000               |2,59                |
|DapperUpdate        |25000               |3,11                |
|DapperUpdate        |25000               |3,12                |
|DapperUpdate        |25000               |3,79                |
|DapperUpdate        |25000               |2,75                |
|DapperUpdate        |25000               |3,17                |
|DapperUpdate        |25000               |3,15                |
|DapperUpdate        |25000               |3,21                |
|DapperUpdate        |25000               |2,67                |
|DapperUpdate        |25000               |2,93                |
|DapperUpdate        |25000               |3,85                |
|DapperUpdate        |25000               |3,39                |
|DapperUpdate        |25000               |3,15                |
|DapperUpdate        |25000               |2,81                |
|DapperUpdate        |25000               |3,36                |
|DapperUpdate        |25000               |3,44                |
|DapperUpdate        |25000               |2,8                 |
|DapperUpdate        |25000               |3,67                |
|DapperUpdate        |25000               |3,73                |
|DapperUpdate        |25000               |3,75                |
|DapperUpdate        |25000               |3,62                |
|DapperUpdate        |25000               |3,53                |
|DapperUpdate        |25000               |3,25                |
|DapperUpdate        |25000               |3,51                |
|DapperUpdate        |25000               |2,72                |
|DapperUpdate        |25000               |2,85                |
|DapperUpdate        |25000               |3,3                 |
|DapperUpdate        |25000               |3,48                |
|DapperUpdate        |25000               |3,21                |
|DapperUpdate        |25000               |3,32                |
|DapperUpdate        |25000               |3,66                |
|DapperUpdate        |25000               |3,02                |
|DapperUpdate        |25000               |2,64                |
|DapperUpdate        |25000               |3,05                |
|DapperUpdate        |25000               |3,48                |
|DapperUpdate        |25000               |3,67                |
|DapperUpdate        |25000               |2,4                 |
|DapperUpdate        |25000               |2,69                |
|DapperUpdate        |25000               |3,43                |
|DapperUpdate        |25000               |3,66                |
|DapperUpdate        |25000               |3,04                |
|DapperUpdate        |25000               |3,3                 |
|DapperUpdate        |25000               |3,33                |
|DapperUpdate        |25000               |3,36                |
|DapperUpdate        |25000               |3,68                |
|DapperUpdate        |25000               |3,16                |
|DapperUpdate        |25000               |2,92                |
|DapperUpdate        |25000               |3,26                |
|DapperUpdate        |25000               |3,07                |
|DapperUpdate        |25000               |3,15                |
|DapperUpdate        |25000               |3,4                 |
|DapperUpdate        |25000               |3,2                 |
|DapperUpdate        |25000               |3,15                |
|DapperUpdate        |25000               |3,06                |
|DapperUpdate        |25000               |2,83                |
|DapperUpdate        |25000               |3,07                |
|DapperUpdate        |25000               |3,41                |
|DapperUpdate        |25000               |3,26                |
|DapperUpdate        |25000               |3,63                |
|DapperUpdate        |25000               |2,89                |
|DapperUpdate        |25000               |2,82                |
|DapperUpdate        |25000               |3,24                |
|DapperUpdate        |25000               |3,22                |
