CPU Usage - 20.06.2022 09:29:42
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|EFCoreDelete        |10000               |15,6                |
|EFCoreDelete        |10000               |7,4                 |
|EFCoreDelete        |10000               |4,93                |
|EFCoreDelete        |10000               |4,75                |
|EFCoreDelete        |10000               |3,19                |
|EFCoreDelete        |10000               |3,5                 |
|EFCoreDelete        |10000               |3,88                |
|EFCoreDelete        |10000               |4,2                 |
|EFCoreDelete        |10000               |3,53                |
|EFCoreDelete        |10000               |3,84                |
|EFCoreDelete        |10000               |3,88                |
|EFCoreDelete        |10000               |3,84                |
|EFCoreDelete        |10000               |3,51                |
|EFCoreDelete        |10000               |3,89                |
|EFCoreDelete        |10000               |3,8                 |
|EFCoreDelete        |10000               |3,87                |
|EFCoreDelete        |10000               |4,19                |
|EFCoreDelete        |10000               |3,86                |
|EFCoreDelete        |10000               |4,2                 |
|EFCoreDelete        |10000               |4,16                |
|EFCoreDelete        |10000               |4,19                |
|EFCoreDelete        |10000               |3,22                |
|EFCoreDelete        |10000               |3,51                |
|EFCoreDelete        |10000               |3,52                |
|EFCoreDelete        |10000               |3,53                |
|EFCoreDelete        |10000               |3,91                |
|EFCoreDelete        |10000               |4,17                |
|EFCoreDelete        |10000               |4,4                 |
|EFCoreDelete        |10000               |4,17                |
|EFCoreDelete        |10000               |4,14                |
|EFCoreDelete        |10000               |6,06                |
|EFCoreDelete        |10000               |3,53                |
|EFCoreDelete        |10000               |4,2                 |
|EFCoreDelete        |10000               |3,91                |
|EFCoreDelete        |10000               |3,52                |
|EFCoreDelete        |10000               |3,88                |
|EFCoreDelete        |10000               |4,19                |
|EFCoreDelete        |10000               |3,87                |
|EFCoreDelete        |10000               |3,86                |
|EFCoreDelete        |10000               |3,58                |
|EFCoreDelete        |10000               |4,17                |
|EFCoreDelete        |10000               |4,37                |
|EFCoreDelete        |10000               |3,5                 |
|EFCoreDelete        |10000               |3,81                |
|EFCoreDelete        |10000               |3,54                |
|EFCoreDelete        |10000               |3,89                |
|EFCoreDelete        |10000               |3,85                |
|EFCoreDelete        |10000               |2,89                |
|EFCoreDelete        |10000               |4,5                 |
|EFCoreDelete        |10000               |3,54                |
|EFCoreDelete        |10000               |4,12                |
|EFCoreDelete        |10000               |4,21                |
|EFCoreDelete        |10000               |2,93                |
|EFCoreDelete        |10000               |3,54                |
|EFCoreDelete        |10000               |3,96                |
|EFCoreDelete        |10000               |4,31                |
|EFCoreDelete        |10000               |4,17                |
|EFCoreDelete        |10000               |4,52                |
|EFCoreDelete        |10000               |4,48                |
|EFCoreDelete        |10000               |3,89                |
|EFCoreDelete        |10000               |3,88                |
|EFCoreDelete        |10000               |4,82                |
|EFCoreDelete        |10000               |4,37                |
|EFCoreDelete        |10000               |3,57                |
|EFCoreDelete        |10000               |4,49                |
|EFCoreDelete        |10000               |4,5                 |
|EFCoreDelete        |10000               |2,9                 |
|EFCoreDelete        |10000               |3,55                |
|EFCoreDelete        |10000               |4,51                |
|EFCoreDelete        |10000               |4,19                |
|EFCoreDelete        |10000               |4,52                |
|EFCoreDelete        |10000               |3,51                |
|EFCoreDelete        |10000               |3,56                |
|EFCoreDelete        |10000               |3,77                |
|EFCoreDelete        |10000               |4,83                |
|EFCoreDelete        |10000               |4,41                |
|EFCoreDelete        |10000               |3,84                |
|EFCoreDelete        |10000               |3,58                |
|EFCoreDelete        |10000               |4,52                |
|EFCoreDelete        |10000               |3,48                |
|EFCoreDelete        |10000               |4,77                |
|EFCoreDelete        |10000               |3,52                |
|EFCoreDelete        |10000               |3,88                |
|EFCoreDelete        |10000               |3,86                |
|EFCoreDelete        |10000               |3,53                |
|EFCoreDelete        |10000               |3,89                |
|EFCoreDelete        |10000               |4,16                |
|EFCoreDelete        |10000               |3,53                |
|EFCoreDelete        |10000               |4,54                |
|EFCoreDelete        |10000               |4,17                |
|EFCoreDelete        |10000               |4,14                |
|EFCoreDelete        |10000               |3,53                |
|EFCoreDelete        |10000               |3,88                |
|EFCoreDelete        |10000               |4,17                |
|EFCoreDelete        |10000               |3,24                |
|EFCoreDelete        |10000               |5,14                |
|EFCoreDelete        |10000               |3,22                |
|EFCoreDelete        |10000               |4,18                |
|EFCoreDelete        |10000               |4,17                |
|EFCoreDelete        |10000               |4,22                |
|EFCoreDelete        |10000               |4,17                |
|EFCoreDelete        |10000               |3,89                |
|EFCoreDelete        |10000               |3,57                |
|EFCoreDelete        |10000               |2,91                |
|EFCoreDelete        |10000               |4,16                |
|EFCoreDelete        |10000               |3,83                |
|EFCoreDelete        |10000               |3,55                |
|EFCoreDelete        |10000               |2,91                |
|EFCoreDelete        |10000               |3,86                |
|EFCoreDelete        |10000               |4,51                |
|EFCoreDelete        |10000               |3,54                |
