CPU Usage - 19.06.2022 18:36:52
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|EFCoreInsert        |25000               |14,7                |
|EFCoreInsert        |25000               |11,38               |
|EFCoreInsert        |25000               |9,69                |
|EFCoreInsert        |25000               |10,31               |
|EFCoreInsert        |25000               |9,55                |
|EFCoreInsert        |25000               |8,95                |
|EFCoreInsert        |25000               |10,25               |
|EFCoreInsert        |25000               |9,47                |
|EFCoreInsert        |25000               |10,14               |
|EFCoreInsert        |25000               |9,79                |
|EFCoreInsert        |25000               |9,7                 |
|EFCoreInsert        |25000               |10,51               |
|EFCoreInsert        |25000               |11,1                |
|EFCoreInsert        |25000               |10,6                |
|EFCoreInsert        |25000               |11,06               |
|EFCoreInsert        |25000               |9,88                |
|EFCoreInsert        |25000               |10,18               |
|EFCoreInsert        |25000               |10,84               |
|EFCoreInsert        |25000               |11,34               |
|EFCoreInsert        |25000               |10,6                |
|EFCoreInsert        |25000               |10,53               |
|EFCoreInsert        |25000               |10,46               |
|EFCoreInsert        |25000               |10,85               |
|EFCoreInsert        |25000               |10,73               |
|EFCoreInsert        |25000               |10,76               |
|EFCoreInsert        |25000               |11,35               |
|EFCoreInsert        |25000               |10,89               |
|EFCoreInsert        |25000               |10,97               |
|EFCoreInsert        |25000               |10,79               |
|EFCoreInsert        |25000               |11,39               |
|EFCoreInsert        |25000               |11,16               |
|EFCoreInsert        |25000               |11,72               |
|EFCoreInsert        |25000               |10,8                |
|EFCoreInsert        |25000               |10,61               |
|EFCoreInsert        |25000               |10,47               |
|EFCoreInsert        |25000               |10,1                |
|EFCoreInsert        |25000               |10,88               |
|EFCoreInsert        |25000               |10,64               |
|EFCoreInsert        |25000               |10,25               |
|EFCoreInsert        |25000               |11,25               |
|EFCoreInsert        |25000               |10,4                |
|EFCoreInsert        |25000               |10,5                |
|EFCoreInsert        |25000               |9,86                |
|EFCoreInsert        |25000               |10,35               |
|EFCoreInsert        |25000               |10,82               |
|EFCoreInsert        |25000               |11,39               |
|EFCoreInsert        |25000               |10,28               |
|EFCoreInsert        |25000               |10,74               |
|EFCoreInsert        |25000               |10,82               |
|EFCoreInsert        |25000               |10,06               |
|EFCoreInsert        |25000               |10,45               |
|EFCoreInsert        |25000               |10,61               |
|EFCoreInsert        |25000               |10,72               |
|EFCoreInsert        |25000               |11,25               |
|EFCoreInsert        |25000               |10,76               |
|EFCoreInsert        |25000               |11,1                |
|EFCoreInsert        |25000               |10,86               |
