CPU Usage - 22.06.2022 07:57:49
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|EFCoreJoin          |0                   |11,2                |
|EFCoreJoin          |0                   |3,12                |
|EFCoreJoin          |0                   |2,55                |
|EFCoreJoin          |0                   |2,44                |
|EFCoreJoin          |0                   |2,5                 |
|EFCoreJoin          |0                   |2,31                |
|EFCoreJoin          |0                   |1,93                |
|EFCoreJoin          |0                   |2,42                |
|EFCoreJoin          |0                   |1,93                |
|EFCoreJoin          |0                   |2,7                 |
|EFCoreJoin          |0                   |2,29                |
|EFCoreJoin          |0                   |2,24                |
|EFCoreJoin          |0                   |2,26                |
|EFCoreJoin          |0                   |1,86                |
|EFCoreJoin          |0                   |1,88                |
|EFCoreJoin          |0                   |2,88                |
|EFCoreJoin          |0                   |2,69                |
|EFCoreJoin          |0                   |2,31                |
|EFCoreJoin          |0                   |2,3                 |
|EFCoreJoin          |0                   |2,24                |
|EFCoreJoin          |0                   |2,08                |
|EFCoreJoin          |0                   |2,3                 |
|EFCoreJoin          |0                   |2,09                |
|EFCoreJoin          |0                   |2,28                |
|EFCoreJoin          |0                   |2,3                 |
|EFCoreJoin          |0                   |2,49                |
|EFCoreJoin          |0                   |2,31                |
|EFCoreJoin          |0                   |2,3                 |
|EFCoreJoin          |0                   |2,13                |
|EFCoreJoin          |0                   |2,66                |
|EFCoreJoin          |0                   |3,25                |
|EFCoreJoin          |0                   |2,49                |
|EFCoreJoin          |0                   |2,3                 |
|EFCoreJoin          |0                   |2,31                |
|EFCoreJoin          |0                   |2,68                |
|EFCoreJoin          |0                   |1,91                |
|EFCoreJoin          |0                   |2,49                |
|EFCoreJoin          |0                   |2,08                |
|EFCoreJoin          |0                   |2,51                |
|EFCoreJoin          |0                   |2,3                 |
|EFCoreJoin          |0                   |2,48                |
|EFCoreJoin          |0                   |2,5                 |
|EFCoreJoin          |0                   |2,12                |
|EFCoreJoin          |0                   |2,25                |
|EFCoreJoin          |0                   |2,07                |
|EFCoreJoin          |0                   |1,71                |
|EFCoreJoin          |0                   |2,49                |
|EFCoreJoin          |0                   |2,5                 |
|EFCoreJoin          |0                   |2,1                 |
|EFCoreJoin          |0                   |2,12                |
|EFCoreJoin          |0                   |2,29                |
|EFCoreJoin          |0                   |1,92                |
|EFCoreJoin          |0                   |2,3                 |
|EFCoreJoin          |0                   |1,93                |
|EFCoreJoin          |0                   |2,31                |
