CPU Usage - 21.06.2022 23:59:38
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|EFCoreJoin          |0                   |9,41                |
|EFCoreJoin          |0                   |1,47                |
|EFCoreJoin          |0                   |0,74                |
|EFCoreJoin          |0                   |0,78                |
|EFCoreJoin          |0                   |0,79                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,39                |
|EFCoreJoin          |0                   |0,59                |
|EFCoreJoin          |0                   |0,37                |
|EFCoreJoin          |0                   |0                   |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,33                |
|EFCoreJoin          |0                   |0,56                |
|EFCoreJoin          |0                   |0,19                |
|EFCoreJoin          |0                   |0,57                |
|EFCoreJoin          |0                   |0,91                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,19                |
|EFCoreJoin          |0                   |0,19                |
|EFCoreJoin          |0                   |0,61                |
|EFCoreJoin          |0                   |0,59                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,39                |
|EFCoreJoin          |0                   |0                   |
|EFCoreJoin          |0                   |0,39                |
|EFCoreJoin          |0                   |0,35                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,39                |
|EFCoreJoin          |0                   |0,19                |
|EFCoreJoin          |0                   |0,4                 |
|EFCoreJoin          |0                   |2,1                 |
|EFCoreJoin          |0                   |0,37                |
|EFCoreJoin          |0                   |0,19                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,38                |
|EFCoreJoin          |0                   |0,38                |
|EFCoreJoin          |0                   |0,19                |
|EFCoreJoin          |0                   |0,17                |
|EFCoreJoin          |0                   |0,38                |
|EFCoreJoin          |0                   |0,39                |
|EFCoreJoin          |0                   |0,34                |
|EFCoreJoin          |0                   |0,4                 |
|EFCoreJoin          |0                   |0,31                |
|EFCoreJoin          |0                   |0,18                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0                   |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0                   |
|EFCoreJoin          |0                   |0,4                 |
|EFCoreJoin          |0                   |0,82                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,61                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,61                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,83                |
|EFCoreJoin          |0                   |0,61                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,62                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,61                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,62                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,61                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,61                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,61                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,42                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,42                |
|EFCoreJoin          |0                   |0                   |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0                   |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,42                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,62                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,21                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,4                 |
|EFCoreJoin          |0                   |0,4                 |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,62                |
|EFCoreJoin          |0                   |0,41                |
|EFCoreJoin          |0                   |0,2                 |
|EFCoreJoin          |0                   |0,2                 |
