CPU Usage - 18.06.2022 12:35:35
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|EFCoreOrder         |0                   |17,68               |
|EFCoreOrder         |0                   |9,35                |
|EFCoreOrder         |0                   |7,79                |
|EFCoreOrder         |0                   |7,71                |
|EFCoreOrder         |0                   |7,64                |
|EFCoreOrder         |0                   |7,68                |
|EFCoreOrder         |0                   |7,22                |
|EFCoreOrder         |0                   |7,44                |
|EFCoreOrder         |0                   |7,66                |
|EFCoreOrder         |0                   |8,3                 |
|EFCoreOrder         |0                   |8,1                 |
|EFCoreOrder         |0                   |7,82                |
|EFCoreOrder         |0                   |7,58                |
|EFCoreOrder         |0                   |8,42                |
|EFCoreOrder         |0                   |7,66                |
|EFCoreOrder         |0                   |7,9                 |
|EFCoreOrder         |0                   |7,41                |
|EFCoreOrder         |0                   |7,27                |
|EFCoreOrder         |0                   |7,85                |
|EFCoreOrder         |0                   |7,46                |
|EFCoreOrder         |0                   |7,42                |
|EFCoreOrder         |0                   |7,69                |
|EFCoreOrder         |0                   |7,38                |
|EFCoreOrder         |0                   |6,99                |
|EFCoreOrder         |0                   |7,65                |
|EFCoreOrder         |0                   |7,68                |
|EFCoreOrder         |0                   |7,46                |
|EFCoreOrder         |0                   |7,45                |
|EFCoreOrder         |0                   |7,68                |
|EFCoreOrder         |0                   |7,66                |
|EFCoreOrder         |0                   |9,41                |
|EFCoreOrder         |0                   |7,19                |
|EFCoreOrder         |0                   |7,72                |
|EFCoreOrder         |0                   |7,43                |
|EFCoreOrder         |0                   |7,4                 |
|EFCoreOrder         |0                   |7,66                |
|EFCoreOrder         |0                   |7,35                |
|EFCoreOrder         |0                   |7,58                |
|EFCoreOrder         |0                   |7,45                |
|EFCoreOrder         |0                   |7,63                |
|EFCoreOrder         |0                   |7,71                |
|EFCoreOrder         |0                   |7,72                |
|EFCoreOrder         |0                   |7,15                |
|EFCoreOrder         |0                   |7,73                |
|EFCoreOrder         |0                   |6,8                 |
|EFCoreOrder         |0                   |8,05                |
|EFCoreOrder         |0                   |7,49                |
|EFCoreOrder         |0                   |7,43                |
|EFCoreOrder         |0                   |7,73                |
|EFCoreOrder         |0                   |7,44                |
|EFCoreOrder         |0                   |7,48                |
|EFCoreOrder         |0                   |7,19                |
|EFCoreOrder         |0                   |7,17                |
|EFCoreOrder         |0                   |7,6                 |
|EFCoreOrder         |0                   |7,66                |
|EFCoreOrder         |0                   |7,42                |
|EFCoreOrder         |0                   |7,44                |
|EFCoreOrder         |0                   |7,49                |
|EFCoreOrder         |0                   |7,13                |
|EFCoreOrder         |0                   |7,33                |
|EFCoreOrder         |0                   |7,67                |
|EFCoreOrder         |0                   |7,2                 |
|EFCoreOrder         |0                   |7,4                 |
|EFCoreOrder         |0                   |7,45                |
|EFCoreOrder         |0                   |7,4                 |
|EFCoreOrder         |0                   |7,13                |
|EFCoreOrder         |0                   |7,46                |
|EFCoreOrder         |0                   |7,48                |
|EFCoreOrder         |0                   |6,94                |
|EFCoreOrder         |0                   |7,96                |
|EFCoreOrder         |0                   |7,99                |
