CPU Usage - 18.06.2022 10:03:03
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|EFCoreRead          |0                   |22,17               |
|EFCoreRead          |0                   |12,07               |
|EFCoreRead          |0                   |12,95               |
|EFCoreRead          |0                   |11,14               |
|EFCoreRead          |0                   |11,61               |
|EFCoreRead          |0                   |12,28               |
|EFCoreRead          |0                   |12,45               |
|EFCoreRead          |0                   |11,62               |
|EFCoreRead          |0                   |12,75               |
|EFCoreRead          |0                   |11,19               |
|EFCoreRead          |0                   |11,79               |
|EFCoreRead          |0                   |11,58               |
|EFCoreRead          |0                   |11,93               |
|EFCoreRead          |0                   |11,61               |
|EFCoreRead          |0                   |12,35               |
|EFCoreRead          |0                   |11,95               |
|EFCoreRead          |0                   |12,3                |
|EFCoreRead          |0                   |11,56               |
|EFCoreRead          |0                   |11,52               |
|EFCoreRead          |0                   |12,38               |
|EFCoreRead          |0                   |11,64               |
|EFCoreRead          |0                   |11,61               |
|EFCoreRead          |0                   |12,59               |
|EFCoreRead          |0                   |11,67               |
|EFCoreRead          |0                   |11,95               |
|EFCoreRead          |0                   |11,66               |
|EFCoreRead          |0                   |11,59               |
|EFCoreRead          |0                   |11,52               |
|EFCoreRead          |0                   |11,61               |
|EFCoreRead          |0                   |12,98               |
|EFCoreRead          |0                   |14                  |
|EFCoreRead          |0                   |11,92               |
|EFCoreRead          |0                   |12,07               |
|EFCoreRead          |0                   |11,92               |
|EFCoreRead          |0                   |11,97               |
|EFCoreRead          |0                   |12,01               |
|EFCoreRead          |0                   |12,04               |
|EFCoreRead          |0                   |12,03               |
|EFCoreRead          |0                   |11,79               |
|EFCoreRead          |0                   |11,75               |
|EFCoreRead          |0                   |12,24               |
|EFCoreRead          |0                   |12,21               |
|EFCoreRead          |0                   |12,71               |
|EFCoreRead          |0                   |11,8                |
|EFCoreRead          |0                   |12,2                |
|EFCoreRead          |0                   |11,99               |
|EFCoreRead          |0                   |11,99               |
|EFCoreRead          |0                   |11,99               |
|EFCoreRead          |0                   |11,99               |
|EFCoreRead          |0                   |11,65               |
|EFCoreRead          |0                   |11,53               |
|EFCoreRead          |0                   |11,56               |
|EFCoreRead          |0                   |11,89               |
|EFCoreRead          |0                   |12,48               |
|EFCoreRead          |0                   |11,91               |
|EFCoreRead          |0                   |11,55               |
|EFCoreRead          |0                   |12,08               |
|EFCoreRead          |0                   |12,14               |
|EFCoreRead          |0                   |11,55               |
|EFCoreRead          |0                   |12,08               |
|EFCoreRead          |0                   |12,02               |
|EFCoreRead          |0                   |11,83               |
|EFCoreRead          |0                   |11,55               |
|EFCoreRead          |0                   |12,53               |
|EFCoreRead          |0                   |12,32               |
|EFCoreRead          |0                   |11,04               |
|EFCoreRead          |0                   |11,56               |
|EFCoreRead          |0                   |11,73               |
|EFCoreRead          |0                   |11,7                |
|EFCoreRead          |0                   |11,59               |
|EFCoreRead          |0                   |11,15               |
|EFCoreRead          |0                   |12,01               |
|EFCoreRead          |0                   |12,06               |
|EFCoreRead          |0                   |12,21               |
|EFCoreRead          |0                   |11,63               |
|EFCoreRead          |0                   |12                  |
|EFCoreRead          |0                   |12,56               |
|EFCoreRead          |0                   |11,54               |
|EFCoreRead          |0                   |12,43               |
|EFCoreRead          |0                   |11,96               |
|EFCoreRead          |0                   |11,31               |
|EFCoreRead          |0                   |11,81               |
|EFCoreRead          |0                   |11,75               |
|EFCoreRead          |0                   |12,3                |
|EFCoreRead          |0                   |11,85               |
|EFCoreRead          |0                   |11,79               |
|EFCoreRead          |0                   |11,38               |
|EFCoreRead          |0                   |11,97               |
|EFCoreRead          |0                   |12,34               |
|EFCoreRead          |0                   |11,4                |
|EFCoreRead          |0                   |12                  |
|EFCoreRead          |0                   |12,02               |
|EFCoreRead          |0                   |11,64               |
|EFCoreRead          |0                   |11,16               |
|EFCoreRead          |0                   |11,62               |
|EFCoreRead          |0                   |11,63               |
|EFCoreRead          |0                   |11,61               |
|EFCoreRead          |0                   |11,48               |
|EFCoreRead          |0                   |12,07               |
|EFCoreRead          |0                   |11,96               |
|EFCoreRead          |0                   |11,61               |
|EFCoreRead          |0                   |11,59               |
|EFCoreRead          |0                   |11,52               |
|EFCoreRead          |0                   |11,63               |
|EFCoreRead          |0                   |12,07               |
|EFCoreRead          |0                   |11,95               |
|EFCoreRead          |0                   |12,15               |
|EFCoreRead          |0                   |12,31               |
|EFCoreRead          |0                   |11,9                |
|EFCoreRead          |0                   |11,27               |
|EFCoreRead          |0                   |11,97               |
|EFCoreRead          |0                   |12,36               |
|EFCoreRead          |0                   |11,9                |
|EFCoreRead          |0                   |11,7                |
|EFCoreRead          |0                   |12,42               |
|EFCoreRead          |0                   |11,97               |
|EFCoreRead          |0                   |11,57               |
|EFCoreRead          |0                   |11,61               |
|EFCoreRead          |0                   |12,04               |
|EFCoreRead          |0                   |11,94               |
|EFCoreRead          |0                   |11,98               |
|EFCoreRead          |0                   |12,38               |
|EFCoreRead          |0                   |11,99               |
|EFCoreRead          |0                   |11,49               |
|EFCoreRead          |0                   |11,91               |
|EFCoreRead          |0                   |11,95               |
|EFCoreRead          |0                   |11,63               |
|EFCoreRead          |0                   |12,22               |
|EFCoreRead          |0                   |12,43               |
|EFCoreRead          |0                   |12,17               |
|EFCoreRead          |0                   |11,88               |
|EFCoreRead          |0                   |12,05               |
|EFCoreRead          |0                   |12,17               |
|EFCoreRead          |0                   |12,02               |
|EFCoreRead          |0                   |11,63               |
|EFCoreRead          |0                   |11,62               |
|EFCoreRead          |0                   |11,5                |
|EFCoreRead          |0                   |12,07               |
|EFCoreRead          |0                   |11,95               |
|EFCoreRead          |0                   |11,22               |
|EFCoreRead          |0                   |12,23               |
|EFCoreRead          |0                   |11,73               |
|EFCoreRead          |0                   |12,29               |
|EFCoreRead          |0                   |11,69               |
|EFCoreRead          |0                   |12,03               |
|EFCoreRead          |0                   |12,39               |
|EFCoreRead          |0                   |12,1                |
|EFCoreRead          |0                   |10,88               |
|EFCoreRead          |0                   |11,65               |
|EFCoreRead          |0                   |12,03               |
|EFCoreRead          |0                   |11,64               |
