CPU Usage - 19.06.2022 23:52:03
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|EFCoreUpdate        |25000               |13,28               |
|EFCoreUpdate        |25000               |9,42                |
|EFCoreUpdate        |25000               |8,27                |
|EFCoreUpdate        |25000               |7,81                |
|EFCoreUpdate        |25000               |8,69                |
|EFCoreUpdate        |25000               |9,17                |
|EFCoreUpdate        |25000               |8,1                 |
|EFCoreUpdate        |25000               |7,64                |
|EFCoreUpdate        |25000               |8,56                |
|EFCoreUpdate        |25000               |9,25                |
|EFCoreUpdate        |25000               |7,78                |
|EFCoreUpdate        |25000               |8,19                |
|EFCoreUpdate        |25000               |9,41                |
|EFCoreUpdate        |25000               |7,86                |
|EFCoreUpdate        |25000               |7,85                |
|EFCoreUpdate        |25000               |8,01                |
|EFCoreUpdate        |25000               |7,63                |
|EFCoreUpdate        |25000               |8,82                |
|EFCoreUpdate        |25000               |8,96                |
|EFCoreUpdate        |25000               |7,75                |
|EFCoreUpdate        |25000               |8,25                |
|EFCoreUpdate        |25000               |9,14                |
|EFCoreUpdate        |25000               |8,46                |
|EFCoreUpdate        |25000               |7,64                |
|EFCoreUpdate        |25000               |8,38                |
|EFCoreUpdate        |25000               |8,22                |
|EFCoreUpdate        |25000               |7,89                |
|EFCoreUpdate        |25000               |8,2                 |
|EFCoreUpdate        |25000               |8,17                |
|EFCoreUpdate        |25000               |9,56                |
|EFCoreUpdate        |25000               |7,55                |
|EFCoreUpdate        |25000               |8,67                |
|EFCoreUpdate        |25000               |8,5                 |
|EFCoreUpdate        |25000               |8,43                |
|EFCoreUpdate        |25000               |8,42                |
|EFCoreUpdate        |25000               |8,24                |
|EFCoreUpdate        |25000               |8,05                |
|EFCoreUpdate        |25000               |7,84                |
|EFCoreUpdate        |25000               |8,1                 |
|EFCoreUpdate        |25000               |8,12                |
|EFCoreUpdate        |25000               |8,08                |
|EFCoreUpdate        |25000               |7,64                |
|EFCoreUpdate        |25000               |8,49                |
|EFCoreUpdate        |25000               |8,01                |
|EFCoreUpdate        |25000               |7,86                |
|EFCoreUpdate        |25000               |8,16                |
|EFCoreUpdate        |25000               |8,13                |
|EFCoreUpdate        |25000               |7,71                |
|EFCoreUpdate        |25000               |8,04                |
|EFCoreUpdate        |25000               |8,39                |
|EFCoreUpdate        |25000               |8,56                |
|EFCoreUpdate        |25000               |7,61                |
|EFCoreUpdate        |25000               |8,13                |
|EFCoreUpdate        |25000               |8,32                |
|EFCoreUpdate        |25000               |8,34                |
|EFCoreUpdate        |25000               |7,68                |
|EFCoreUpdate        |25000               |7,92                |
|EFCoreUpdate        |25000               |8                   |
|EFCoreUpdate        |25000               |8,17                |
|EFCoreUpdate        |25000               |8,21                |
|EFCoreUpdate        |25000               |8,64                |
|EFCoreUpdate        |25000               |7,88                |
|EFCoreUpdate        |25000               |8,07                |
|EFCoreUpdate        |25000               |8,47                |
|EFCoreUpdate        |25000               |9,27                |
|EFCoreUpdate        |25000               |8,29                |
|EFCoreUpdate        |25000               |8,3                 |
|EFCoreUpdate        |25000               |8,15                |
|EFCoreUpdate        |25000               |7,6                 |
|EFCoreUpdate        |25000               |7,92                |
|EFCoreUpdate        |25000               |8,44                |
|EFCoreUpdate        |25000               |7,83                |
|EFCoreUpdate        |25000               |8,01                |
|EFCoreUpdate        |25000               |7,76                |
|EFCoreUpdate        |25000               |8,35                |
|EFCoreUpdate        |25000               |7,81                |
|EFCoreUpdate        |25000               |8                   |
|EFCoreUpdate        |25000               |8,03                |
|EFCoreUpdate        |25000               |7,98                |
|EFCoreUpdate        |25000               |7,68                |
|EFCoreUpdate        |25000               |8,04                |
|EFCoreUpdate        |25000               |7,57                |
|EFCoreUpdate        |25000               |8,03                |
|EFCoreUpdate        |25000               |8,64                |
|EFCoreUpdate        |25000               |8,08                |
|EFCoreUpdate        |25000               |7,98                |
|EFCoreUpdate        |25000               |8,28                |
|EFCoreUpdate        |25000               |9,11                |
|EFCoreUpdate        |25000               |8,88                |
|EFCoreUpdate        |25000               |8,39                |
|EFCoreUpdate        |25000               |8,65                |
|EFCoreUpdate        |25000               |8,9                 |
|EFCoreUpdate        |25000               |7,87                |
|EFCoreUpdate        |25000               |8,79                |
|EFCoreUpdate        |25000               |8,94                |
|EFCoreUpdate        |25000               |8,54                |
|EFCoreUpdate        |25000               |8,56                |
|EFCoreUpdate        |25000               |7,95                |
|EFCoreUpdate        |25000               |8,53                |
|EFCoreUpdate        |25000               |8,76                |
|EFCoreUpdate        |25000               |7,88                |
|EFCoreUpdate        |25000               |8,74                |
|EFCoreUpdate        |25000               |8,89                |
|EFCoreUpdate        |25000               |8,41                |
|EFCoreUpdate        |25000               |7,68                |
|EFCoreUpdate        |25000               |8,43                |
|EFCoreUpdate        |25000               |8,04                |
|EFCoreUpdate        |25000               |8,33                |
|EFCoreUpdate        |25000               |9,2                 |
|EFCoreUpdate        |25000               |8,4                 |
|EFCoreUpdate        |25000               |9,15                |
|EFCoreUpdate        |25000               |8,13                |
|EFCoreUpdate        |25000               |8,77                |
|EFCoreUpdate        |25000               |8,7                 |
|EFCoreUpdate        |25000               |8,86                |
|EFCoreUpdate        |25000               |8,86                |
|EFCoreUpdate        |25000               |8,51                |
|EFCoreUpdate        |25000               |8,22                |
|EFCoreUpdate        |25000               |8,89                |
|EFCoreUpdate        |25000               |8,77                |
|EFCoreUpdate        |25000               |9,1                 |
|EFCoreUpdate        |25000               |8,52                |
|EFCoreUpdate        |25000               |8,84                |
|EFCoreUpdate        |25000               |8,3                 |
|EFCoreUpdate        |25000               |8,67                |
|EFCoreUpdate        |25000               |8,76                |
|EFCoreUpdate        |25000               |8,21                |
|EFCoreUpdate        |25000               |8,33                |
|EFCoreUpdate        |25000               |8,5                 |
|EFCoreUpdate        |25000               |8,05                |
|EFCoreUpdate        |25000               |8,49                |
|EFCoreUpdate        |25000               |9,02                |
|EFCoreUpdate        |25000               |8,45                |
|EFCoreUpdate        |25000               |8,63                |
|EFCoreUpdate        |25000               |9,12                |
|EFCoreUpdate        |25000               |8,99                |
|EFCoreUpdate        |25000               |8,69                |
|EFCoreUpdate        |25000               |8,94                |
|EFCoreUpdate        |25000               |8,23                |
|EFCoreUpdate        |25000               |8,67                |
|EFCoreUpdate        |25000               |8,18                |
|EFCoreUpdate        |25000               |8,32                |
|EFCoreUpdate        |25000               |7,85                |
|EFCoreUpdate        |25000               |8,28                |
|EFCoreUpdate        |25000               |8,26                |
|EFCoreUpdate        |25000               |8,65                |
|EFCoreUpdate        |25000               |8,76                |
|EFCoreUpdate        |25000               |8,05                |
|EFCoreUpdate        |25000               |8,15                |
|EFCoreUpdate        |25000               |8,59                |
|EFCoreUpdate        |25000               |8,25                |
|EFCoreUpdate        |25000               |8,48                |
|EFCoreUpdate        |25000               |8,71                |
|EFCoreUpdate        |25000               |8,76                |
|EFCoreUpdate        |25000               |9,34                |
|EFCoreUpdate        |25000               |8,88                |
|EFCoreUpdate        |25000               |8                   |
|EFCoreUpdate        |25000               |8,46                |
|EFCoreUpdate        |25000               |8,8                 |
|EFCoreUpdate        |25000               |8,21                |
|EFCoreUpdate        |25000               |8,24                |
|EFCoreUpdate        |25000               |8,93                |
|EFCoreUpdate        |25000               |9,68                |
|EFCoreUpdate        |25000               |8,72                |
|EFCoreUpdate        |25000               |8,7                 |
|EFCoreUpdate        |25000               |8,69                |
|EFCoreUpdate        |25000               |8,46                |
|EFCoreUpdate        |25000               |9,51                |
|EFCoreUpdate        |25000               |8,66                |
|EFCoreUpdate        |25000               |8,83                |
|EFCoreUpdate        |25000               |9,78                |
|EFCoreUpdate        |25000               |8,37                |
|EFCoreUpdate        |25000               |8,93                |
|EFCoreUpdate        |25000               |8,1                 |
|EFCoreUpdate        |25000               |9,03                |
|EFCoreUpdate        |25000               |8,43                |
|EFCoreUpdate        |25000               |8,03                |
|EFCoreUpdate        |25000               |9,06                |
|EFCoreUpdate        |25000               |8,23                |
|EFCoreUpdate        |25000               |8,41                |
|EFCoreUpdate        |25000               |9,55                |
|EFCoreUpdate        |25000               |7,49                |
|EFCoreUpdate        |25000               |8,59                |
|EFCoreUpdate        |25000               |8,94                |
|EFCoreUpdate        |25000               |9,6                 |
|EFCoreUpdate        |25000               |8,29                |
|EFCoreUpdate        |25000               |8,07                |
|EFCoreUpdate        |25000               |9,48                |
|EFCoreUpdate        |25000               |8,5                 |
|EFCoreUpdate        |25000               |8,84                |
|EFCoreUpdate        |25000               |7,94                |
|EFCoreUpdate        |25000               |8,03                |
|EFCoreUpdate        |25000               |8,52                |
|EFCoreUpdate        |25000               |8,45                |
|EFCoreUpdate        |25000               |8,23                |
|EFCoreUpdate        |25000               |8,33                |
|EFCoreUpdate        |25000               |9,11                |
|EFCoreUpdate        |25000               |8,93                |
|EFCoreUpdate        |25000               |8,81                |
|EFCoreUpdate        |25000               |8,21                |
|EFCoreUpdate        |25000               |9,22                |
|EFCoreUpdate        |25000               |9,18                |
|EFCoreUpdate        |25000               |8,19                |
|EFCoreUpdate        |25000               |9,28                |
|EFCoreUpdate        |25000               |9,34                |
|EFCoreUpdate        |25000               |8,45                |
|EFCoreUpdate        |25000               |7,84                |
|EFCoreUpdate        |25000               |8,93                |
|EFCoreUpdate        |25000               |9,36                |
|EFCoreUpdate        |25000               |8,3                 |
|EFCoreUpdate        |25000               |8,65                |
|EFCoreUpdate        |25000               |8,27                |
|EFCoreUpdate        |25000               |8,73                |
|EFCoreUpdate        |25000               |9,38                |
|EFCoreUpdate        |25000               |8,59                |
|EFCoreUpdate        |25000               |8,93                |
|EFCoreUpdate        |25000               |8,2                 |
|EFCoreUpdate        |25000               |8,9                 |
|EFCoreUpdate        |25000               |8,72                |
|EFCoreUpdate        |25000               |8,74                |
|EFCoreUpdate        |25000               |8,85                |
|EFCoreUpdate        |25000               |8,11                |
