CPU Usage - 20.06.2022 12:07:42
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|NHibernateDelete    |25000               |23,67               |
|NHibernateDelete    |25000               |23,62               |
|NHibernateDelete    |25000               |23,69               |
|NHibernateDelete    |25000               |23,5                |
|NHibernateDelete    |25000               |23,65               |
|NHibernateDelete    |25000               |23,63               |
|NHibernateDelete    |25000               |23,63               |
|NHibernateDelete    |25000               |23,43               |
|NHibernateDelete    |25000               |23,51               |
|NHibernateDelete    |25000               |23,58               |
|NHibernateDelete    |25000               |23,53               |
|NHibernateDelete    |25000               |23,59               |
|NHibernateDelete    |25000               |23,65               |
|NHibernateDelete    |25000               |23,59               |
|NHibernateDelete    |25000               |23,59               |
|NHibernateDelete    |25000               |23,68               |
|NHibernateDelete    |25000               |23,49               |
|NHibernateDelete    |25000               |23,57               |
|NHibernateDelete    |25000               |23,6                |
|NHibernateDelete    |25000               |23,51               |
|NHibernateDelete    |25000               |23,49               |
|NHibernateDelete    |25000               |23,47               |
|NHibernateDelete    |25000               |23,72               |
|NHibernateDelete    |25000               |23,66               |
|NHibernateDelete    |25000               |23,49               |
|NHibernateDelete    |25000               |23,53               |
|NHibernateDelete    |25000               |23,39               |
|NHibernateDelete    |25000               |23,58               |
|NHibernateDelete    |25000               |23,59               |
|NHibernateDelete    |25000               |23,6                |
|NHibernateDelete    |25000               |23,65               |
|NHibernateDelete    |25000               |23,57               |
|NHibernateDelete    |25000               |23,49               |
|NHibernateDelete    |25000               |23,47               |
|NHibernateDelete    |25000               |23,61               |
|NHibernateDelete    |25000               |23,58               |
|NHibernateDelete    |25000               |23,51               |
|NHibernateDelete    |25000               |23,57               |
|NHibernateDelete    |25000               |23,57               |
|NHibernateDelete    |25000               |23,63               |
|NHibernateDelete    |25000               |23,54               |
|NHibernateDelete    |25000               |23,43               |
|NHibernateDelete    |25000               |23,57               |
|NHibernateDelete    |25000               |23,51               |
|NHibernateDelete    |25000               |23,6                |
|NHibernateDelete    |25000               |23,57               |
|NHibernateDelete    |25000               |23,48               |
|NHibernateDelete    |25000               |23,53               |
|NHibernateDelete    |25000               |23,65               |
|NHibernateDelete    |25000               |23,64               |
|NHibernateDelete    |25000               |23,58               |
|NHibernateDelete    |25000               |23,65               |
|NHibernateDelete    |25000               |23,5                |
|NHibernateDelete    |25000               |23,62               |
|NHibernateDelete    |25000               |23,56               |
|NHibernateDelete    |25000               |23,49               |
|NHibernateDelete    |25000               |23,54               |
|NHibernateDelete    |25000               |23,46               |
|NHibernateDelete    |25000               |23,53               |
|NHibernateDelete    |25000               |23,56               |
|NHibernateDelete    |25000               |23,6                |
|NHibernateDelete    |25000               |23,55               |
|NHibernateDelete    |25000               |23,62               |
|NHibernateDelete    |25000               |23,62               |
|NHibernateDelete    |25000               |23,51               |
|NHibernateDelete    |25000               |23,69               |
|NHibernateDelete    |25000               |23,64               |
|NHibernateDelete    |25000               |23,45               |
|NHibernateDelete    |25000               |23,65               |
|NHibernateDelete    |25000               |23,59               |
|NHibernateDelete    |25000               |23,58               |
|NHibernateDelete    |25000               |23,48               |
|NHibernateDelete    |25000               |23,61               |
|NHibernateDelete    |25000               |23,65               |
|NHibernateDelete    |25000               |23,55               |
|NHibernateDelete    |25000               |23,64               |
|NHibernateDelete    |25000               |23,64               |
|NHibernateDelete    |25000               |23,63               |
|NHibernateDelete    |25000               |23,56               |
|NHibernateDelete    |25000               |23,54               |
|NHibernateDelete    |25000               |23,47               |
|NHibernateDelete    |25000               |23,52               |
|NHibernateDelete    |25000               |23,5                |
|NHibernateDelete    |25000               |23,55               |
|NHibernateDelete    |25000               |23,57               |
|NHibernateDelete    |25000               |23,59               |
|NHibernateDelete    |25000               |23,67               |
|NHibernateDelete    |25000               |23,56               |
|NHibernateDelete    |25000               |23,56               |
|NHibernateDelete    |25000               |23,57               |
|NHibernateDelete    |25000               |23,73               |
|NHibernateDelete    |25000               |23,61               |
|NHibernateDelete    |25000               |23,62               |
|NHibernateDelete    |25000               |23,59               |
|NHibernateDelete    |25000               |23,64               |
|NHibernateDelete    |25000               |23,62               |
|NHibernateDelete    |25000               |23,6                |
|NHibernateDelete    |25000               |23,63               |
|NHibernateDelete    |25000               |23,55               |
|NHibernateDelete    |25000               |23,52               |
|NHibernateDelete    |25000               |23,61               |
|NHibernateDelete    |25000               |23,7                |
|NHibernateDelete    |25000               |23,65               |
|NHibernateDelete    |25000               |23,66               |
|NHibernateDelete    |25000               |23,68               |
|NHibernateDelete    |25000               |23,5                |
|NHibernateDelete    |25000               |23,5                |
|NHibernateDelete    |25000               |23,51               |
|NHibernateDelete    |25000               |23,53               |
|NHibernateDelete    |25000               |23,62               |
|NHibernateDelete    |25000               |23,49               |
|NHibernateDelete    |25000               |23,49               |
|NHibernateDelete    |25000               |23,55               |
|NHibernateDelete    |25000               |23,58               |
|NHibernateDelete    |25000               |23,72               |
|NHibernateDelete    |25000               |23,64               |
|NHibernateDelete    |25000               |23,51               |
|NHibernateDelete    |25000               |23,56               |
|NHibernateDelete    |25000               |23,51               |
