CPU Usage - 20.06.2022 19:27:56
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|NHibernateInsert    |1000                |8,23                |
|NHibernateInsert    |1000                |8,97                |
|NHibernateInsert    |1000                |5,46                |
|NHibernateInsert    |1000                |3,32                |
|NHibernateInsert    |1000                |3,9                 |
|NHibernateInsert    |1000                |3,89                |
|NHibernateInsert    |1000                |4,9                 |
|NHibernateInsert    |1000                |2,74                |
|NHibernateInsert    |1000                |4,4                 |
|NHibernateInsert    |1000                |3,33                |
|NHibernateInsert    |1000                |3,88                |
|NHibernateInsert    |1000                |3,32                |
|NHibernateInsert    |1000                |4,44                |
|NHibernateInsert    |1000                |4,38                |
|NHibernateInsert    |1000                |5,49                |
|NHibernateInsert    |1000                |3,3                 |
|NHibernateInsert    |1000                |3,32                |
|NHibernateInsert    |1000                |2,76                |
|NHibernateInsert    |1000                |2,75                |
|NHibernateInsert    |1000                |4,48                |
|NHibernateInsert    |1000                |3,32                |
|NHibernateInsert    |1000                |2,21                |
|NHibernateInsert    |1000                |5,29                |
|NHibernateInsert    |1000                |2,21                |
|NHibernateInsert    |1000                |4,41                |
|NHibernateInsert    |1000                |3,84                |
|NHibernateInsert    |1000                |4,43                |
|NHibernateInsert    |1000                |5,4                 |
|NHibernateInsert    |1000                |5,02                |
|NHibernateInsert    |1000                |3,79                |
|NHibernateInsert    |1000                |10,43               |
|NHibernateInsert    |1000                |4,45                |
|NHibernateInsert    |1000                |3,37                |
|NHibernateInsert    |1000                |4,47                |
|NHibernateInsert    |1000                |4,38                |
|NHibernateInsert    |1000                |4,94                |
|NHibernateInsert    |1000                |3,34                |
|NHibernateInsert    |1000                |3,82                |
|NHibernateInsert    |1000                |4,45                |
|NHibernateInsert    |1000                |5,51                |
|NHibernateInsert    |1000                |5,56                |
|NHibernateInsert    |1000                |4,34                |
|NHibernateInsert    |1000                |5,98                |
|NHibernateInsert    |1000                |3,36                |
|NHibernateInsert    |1000                |3,85                |
|NHibernateInsert    |1000                |4,35                |
|NHibernateInsert    |1000                |3,88                |
|NHibernateInsert    |1000                |5,05                |
|NHibernateInsert    |1000                |4,45                |
|NHibernateInsert    |1000                |4,4                 |
|NHibernateInsert    |1000                |2,24                |
|NHibernateInsert    |1000                |4,42                |
|NHibernateInsert    |1000                |3,85                |
|NHibernateInsert    |1000                |3,25                |
|NHibernateInsert    |1000                |3,41                |
|NHibernateInsert    |1000                |2,76                |
|NHibernateInsert    |1000                |3,86                |
|NHibernateInsert    |1000                |3,84                |
|NHibernateInsert    |1000                |3,34                |
|NHibernateInsert    |1000                |3,32                |
|NHibernateInsert    |1000                |5,41                |
|NHibernateInsert    |1000                |4,99                |
|NHibernateInsert    |1000                |3,37                |
|NHibernateInsert    |1000                |3,3                 |
|NHibernateInsert    |1000                |3,86                |
|NHibernateInsert    |1000                |2,75                |
|NHibernateInsert    |1000                |3,87                |
