CPU Usage - 22.06.2022 10:49:43
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|NHibernateJoin      |0                   |9,27                |
|NHibernateJoin      |0                   |5,74                |
|NHibernateJoin      |0                   |6,44                |
|NHibernateJoin      |0                   |6,17                |
|NHibernateJoin      |0                   |6,11                |
|NHibernateJoin      |0                   |6                   |
|NHibernateJoin      |0                   |5,31                |
|NHibernateJoin      |0                   |6,14                |
|NHibernateJoin      |0                   |5,88                |
|NHibernateJoin      |0                   |5,3                 |
|NHibernateJoin      |0                   |5,59                |
|NHibernateJoin      |0                   |6,15                |
|NHibernateJoin      |0                   |5                   |
|NHibernateJoin      |0                   |6,07                |
|NHibernateJoin      |0                   |5,26                |
|NHibernateJoin      |0                   |5,35                |
|NHibernateJoin      |0                   |6,63                |
|NHibernateJoin      |0                   |5,65                |
|NHibernateJoin      |0                   |6,43                |
|NHibernateJoin      |0                   |4,83                |
|NHibernateJoin      |0                   |6,51                |
|NHibernateJoin      |0                   |4,86                |
|NHibernateJoin      |0                   |5,29                |
|NHibernateJoin      |0                   |5,74                |
|NHibernateJoin      |0                   |5,68                |
|NHibernateJoin      |0                   |5,6                 |
|NHibernateJoin      |0                   |5,75                |
|NHibernateJoin      |0                   |5,89                |
|NHibernateJoin      |0                   |5,57                |
|NHibernateJoin      |0                   |6,37                |
|NHibernateJoin      |0                   |6,55                |
|NHibernateJoin      |0                   |5,43                |
|NHibernateJoin      |0                   |5,39                |
|NHibernateJoin      |0                   |6,6                 |
|NHibernateJoin      |0                   |5,2                 |
|NHibernateJoin      |0                   |5,9                 |
|NHibernateJoin      |0                   |6,53                |
|NHibernateJoin      |0                   |6,36                |
|NHibernateJoin      |0                   |5,95                |
|NHibernateJoin      |0                   |5,37                |
|NHibernateJoin      |0                   |6,53                |
|NHibernateJoin      |0                   |5,28                |
|NHibernateJoin      |0                   |6,7                 |
|NHibernateJoin      |0                   |5,56                |
|NHibernateJoin      |0                   |6,52                |
|NHibernateJoin      |0                   |5,83                |
|NHibernateJoin      |0                   |6,17                |
|NHibernateJoin      |0                   |5,28                |
|NHibernateJoin      |0                   |6,52                |
|NHibernateJoin      |0                   |5,55                |
|NHibernateJoin      |0                   |5,64                |
|NHibernateJoin      |0                   |5,58                |
|NHibernateJoin      |0                   |6,42                |
|NHibernateJoin      |0                   |5,05                |
|NHibernateJoin      |0                   |6,71                |
|NHibernateJoin      |0                   |5,16                |
|NHibernateJoin      |0                   |6,43                |
|NHibernateJoin      |0                   |5,19                |
|NHibernateJoin      |0                   |5,64                |
|NHibernateJoin      |0                   |6,18                |
|NHibernateJoin      |0                   |6,26                |
|NHibernateJoin      |0                   |5,37                |
|NHibernateJoin      |0                   |5,79                |
|NHibernateJoin      |0                   |5,6                 |
|NHibernateJoin      |0                   |5,96                |
|NHibernateJoin      |0                   |6,02                |
|NHibernateJoin      |0                   |5,78                |
|NHibernateJoin      |0                   |5,81                |
|NHibernateJoin      |0                   |5,56                |
|NHibernateJoin      |0                   |5,63                |
|NHibernateJoin      |0                   |5,25                |
|NHibernateJoin      |0                   |5,99                |
