CPU Usage - 18.06.2022 19:52:31
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|NHibernateOrder     |0                   |15,35               |
|NHibernateOrder     |0                   |9,45                |
|NHibernateOrder     |0                   |9,03                |
|NHibernateOrder     |0                   |9,01                |
|NHibernateOrder     |0                   |9,74                |
|NHibernateOrder     |0                   |8,44                |
|NHibernateOrder     |0                   |9,12                |
|NHibernateOrder     |0                   |8,97                |
|NHibernateOrder     |0                   |9,94                |
|NHibernateOrder     |0                   |9,23                |
|NHibernateOrder     |0                   |8,62                |
|NHibernateOrder     |0                   |9,13                |
|NHibernateOrder     |0                   |9,07                |
|NHibernateOrder     |0                   |9,47                |
|NHibernateOrder     |0                   |8,36                |
|NHibernateOrder     |0                   |9,19                |
|NHibernateOrder     |0                   |8,34                |
|NHibernateOrder     |0                   |9,13                |
|NHibernateOrder     |0                   |8,32                |
|NHibernateOrder     |0                   |8,91                |
|NHibernateOrder     |0                   |9,78                |
|NHibernateOrder     |0                   |8,06                |
|NHibernateOrder     |0                   |8,62                |
|NHibernateOrder     |0                   |9,46                |
|NHibernateOrder     |0                   |8,36                |
|NHibernateOrder     |0                   |8,95                |
|NHibernateOrder     |0                   |9,19                |
|NHibernateOrder     |0                   |8,43                |
|NHibernateOrder     |0                   |9,05                |
|NHibernateOrder     |0                   |10,06               |
|NHibernateOrder     |0                   |9,64                |
|NHibernateOrder     |0                   |8,48                |
|NHibernateOrder     |0                   |9,13                |
|NHibernateOrder     |0                   |8,71                |
|NHibernateOrder     |0                   |9,35                |
|NHibernateOrder     |0                   |9,74                |
|NHibernateOrder     |0                   |8,16                |
|NHibernateOrder     |0                   |8,04                |
|NHibernateOrder     |0                   |8,4                 |
|NHibernateOrder     |0                   |9,44                |
|NHibernateOrder     |0                   |8,68                |
|NHibernateOrder     |0                   |9,16                |
|NHibernateOrder     |0                   |8,7                 |
|NHibernateOrder     |0                   |8,93                |
|NHibernateOrder     |0                   |9,56                |
|NHibernateOrder     |0                   |8,96                |
|NHibernateOrder     |0                   |9,26                |
|NHibernateOrder     |0                   |8,85                |
|NHibernateOrder     |0                   |8,59                |
|NHibernateOrder     |0                   |9,01                |
|NHibernateOrder     |0                   |9,25                |
|NHibernateOrder     |0                   |8                   |
|NHibernateOrder     |0                   |8,57                |
|NHibernateOrder     |0                   |9,72                |
|NHibernateOrder     |0                   |8,73                |
|NHibernateOrder     |0                   |9,18                |
|NHibernateOrder     |0                   |8,86                |
|NHibernateOrder     |0                   |8,8                 |
|NHibernateOrder     |0                   |8,56                |
|NHibernateOrder     |0                   |9,56                |
|NHibernateOrder     |0                   |8,66                |
|NHibernateOrder     |0                   |8,99                |
|NHibernateOrder     |0                   |9,71                |
|NHibernateOrder     |0                   |8                   |
|NHibernateOrder     |0                   |8,85                |
|NHibernateOrder     |0                   |9,46                |
|NHibernateOrder     |0                   |9,47                |
|NHibernateOrder     |0                   |8,04                |
|NHibernateOrder     |0                   |9,16                |
|NHibernateOrder     |0                   |8,75                |
|NHibernateOrder     |0                   |9,76                |
|NHibernateOrder     |0                   |9,87                |
|NHibernateOrder     |0                   |8,11                |
|NHibernateOrder     |0                   |8,68                |
|NHibernateOrder     |0                   |8,69                |
|NHibernateOrder     |0                   |9,17                |
|NHibernateOrder     |0                   |8,68                |
|NHibernateOrder     |0                   |9,19                |
|NHibernateOrder     |0                   |8,73                |
|NHibernateOrder     |0                   |8,95                |
|NHibernateOrder     |0                   |9,67                |
|NHibernateOrder     |0                   |8,09                |
|NHibernateOrder     |0                   |8,59                |
|NHibernateOrder     |0                   |9,73                |
|NHibernateOrder     |0                   |8,06                |
|NHibernateOrder     |0                   |8,8                 |
|NHibernateOrder     |0                   |9                   |
|NHibernateOrder     |0                   |9,54                |
|NHibernateOrder     |0                   |9,74                |
|NHibernateOrder     |0                   |7,85                |
|NHibernateOrder     |0                   |9,72                |
|NHibernateOrder     |0                   |8,39                |
|NHibernateOrder     |0                   |8,79                |
|NHibernateOrder     |0                   |9,45                |
|NHibernateOrder     |0                   |8,93                |
|NHibernateOrder     |0                   |9,13                |
|NHibernateOrder     |0                   |9,7                 |
|NHibernateOrder     |0                   |8,93                |
|NHibernateOrder     |0                   |9,37                |
|NHibernateOrder     |0                   |9,73                |
|NHibernateOrder     |0                   |9,44                |
|NHibernateOrder     |0                   |8,17                |
|NHibernateOrder     |0                   |8,87                |
|NHibernateOrder     |0                   |9,04                |
|NHibernateOrder     |0                   |9,26                |
|NHibernateOrder     |0                   |8,28                |
|NHibernateOrder     |0                   |9,15                |
|NHibernateOrder     |0                   |8,62                |
|NHibernateOrder     |0                   |8,96                |
