CPU Usage - 18.06.2022 10:37:34
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|NHibernateRead      |0                   |19,65               |
|NHibernateRead      |0                   |18,08               |
|NHibernateRead      |0                   |17,25               |
|NHibernateRead      |0                   |15,45               |
|NHibernateRead      |0                   |15,79               |
|NHibernateRead      |0                   |17,23               |
|NHibernateRead      |0                   |17,05               |
|NHibernateRead      |0                   |17,09               |
|NHibernateRead      |0                   |17,3                |
|NHibernateRead      |0                   |17,54               |
|NHibernateRead      |0                   |16,34               |
|NHibernateRead      |0                   |16,49               |
|NHibernateRead      |0                   |16,28               |
|NHibernateRead      |0                   |17                  |
|NHibernateRead      |0                   |17,02               |
|NHibernateRead      |0                   |17,29               |
|NHibernateRead      |0                   |16,06               |
|NHibernateRead      |0                   |16,14               |
|NHibernateRead      |0                   |15,92               |
|NHibernateRead      |0                   |15,51               |
|NHibernateRead      |0                   |15,78               |
|NHibernateRead      |0                   |16,55               |
|NHibernateRead      |0                   |16,96               |
|NHibernateRead      |0                   |16,86               |
|NHibernateRead      |0                   |16,98               |
|NHibernateRead      |0                   |16,87               |
|NHibernateRead      |0                   |16,52               |
|NHibernateRead      |0                   |17,1                |
|NHibernateRead      |0                   |17,77               |
|NHibernateRead      |0                   |16,89               |
|NHibernateRead      |0                   |18,67               |
|NHibernateRead      |0                   |16,32               |
|NHibernateRead      |0                   |17,33               |
|NHibernateRead      |0                   |16,41               |
|NHibernateRead      |0                   |16,4                |
|NHibernateRead      |0                   |17,53               |
|NHibernateRead      |0                   |16,39               |
|NHibernateRead      |0                   |17,48               |
|NHibernateRead      |0                   |16,81               |
|NHibernateRead      |0                   |16,86               |
|NHibernateRead      |0                   |16,38               |
|NHibernateRead      |0                   |17,06               |
|NHibernateRead      |0                   |16,79               |
|NHibernateRead      |0                   |16,48               |
|NHibernateRead      |0                   |17,79               |
|NHibernateRead      |0                   |16,93               |
|NHibernateRead      |0                   |16,76               |
|NHibernateRead      |0                   |17,99               |
|NHibernateRead      |0                   |16,6                |
