CPU Usage - 20.06.2022 07:45:10
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|---------------     |---------------     |---------------     |
|NHibernateUpdate    |25000               |8,83                |
|NHibernateUpdate    |25000               |9,11                |
|NHibernateUpdate    |25000               |7,25                |
|NHibernateUpdate    |25000               |7,34                |
|NHibernateUpdate    |25000               |6,81                |
|NHibernateUpdate    |25000               |7,42                |
|NHibernateUpdate    |25000               |7,39                |
|NHibernateUpdate    |25000               |7,19                |
|NHibernateUpdate    |25000               |7,5                 |
|NHibernateUpdate    |25000               |7,74                |
|NHibernateUpdate    |25000               |7,46                |
|NHibernateUpdate    |25000               |7,6                 |
|NHibernateUpdate    |25000               |7,65                |
|NHibernateUpdate    |25000               |7,69                |
|NHibernateUpdate    |25000               |7,04                |
|NHibernateUpdate    |25000               |7,15                |
|NHibernateUpdate    |25000               |7,05                |
|NHibernateUpdate    |25000               |8,38                |
|NHibernateUpdate    |25000               |7,62                |
|NHibernateUpdate    |25000               |6,15                |
|NHibernateUpdate    |25000               |7,25                |
|NHibernateUpdate    |25000               |6,39                |
|NHibernateUpdate    |25000               |6,82                |
|NHibernateUpdate    |25000               |6,35                |
|NHibernateUpdate    |25000               |7,29                |
|NHibernateUpdate    |25000               |7,16                |
|NHibernateUpdate    |25000               |6,12                |
|NHibernateUpdate    |25000               |7,35                |
|NHibernateUpdate    |25000               |7,86                |
|NHibernateUpdate    |25000               |7,45                |
|NHibernateUpdate    |25000               |7,19                |
|NHibernateUpdate    |25000               |6,4                 |
|NHibernateUpdate    |25000               |6,98                |
|NHibernateUpdate    |25000               |6,99                |
|NHibernateUpdate    |25000               |8,23                |
|NHibernateUpdate    |25000               |7,25                |
|NHibernateUpdate    |25000               |6,61                |
|NHibernateUpdate    |25000               |6,11                |
|NHibernateUpdate    |25000               |7,86                |
|NHibernateUpdate    |25000               |6,71                |
|NHibernateUpdate    |25000               |5,97                |
|NHibernateUpdate    |25000               |6,49                |
|NHibernateUpdate    |25000               |6,64                |
|NHibernateUpdate    |25000               |8,03                |
|NHibernateUpdate    |25000               |7,22                |
|NHibernateUpdate    |25000               |7,66                |
|NHibernateUpdate    |25000               |7,41                |
|NHibernateUpdate    |25000               |6,7                 |
|NHibernateUpdate    |25000               |6,92                |
|NHibernateUpdate    |25000               |7,46                |
|NHibernateUpdate    |25000               |6,49                |
|NHibernateUpdate    |25000               |7,02                |
|NHibernateUpdate    |25000               |7,42                |
|NHibernateUpdate    |25000               |6,68                |
|NHibernateUpdate    |25000               |7,55                |
|NHibernateUpdate    |25000               |7,95                |
|NHibernateUpdate    |25000               |6,73                |
|NHibernateUpdate    |25000               |8,23                |
|NHibernateUpdate    |25000               |7,69                |
|NHibernateUpdate    |25000               |6,3                 |
|NHibernateUpdate    |25000               |7,4                 |
|NHibernateUpdate    |25000               |7,41                |
|NHibernateUpdate    |25000               |7,64                |
|NHibernateUpdate    |25000               |7,46                |
|NHibernateUpdate    |25000               |8,16                |
|NHibernateUpdate    |25000               |7,82                |
|NHibernateUpdate    |25000               |7,74                |
|NHibernateUpdate    |25000               |7,13                |
|NHibernateUpdate    |25000               |6,81                |
|NHibernateUpdate    |25000               |7,05                |
|NHibernateUpdate    |25000               |7,26                |
|NHibernateUpdate    |25000               |7,84                |
|NHibernateUpdate    |25000               |7,33                |
|NHibernateUpdate    |25000               |7,86                |
|NHibernateUpdate    |25000               |7,94                |
|NHibernateUpdate    |25000               |6,51                |
|NHibernateUpdate    |25000               |7,36                |
|NHibernateUpdate    |25000               |6,79                |
|NHibernateUpdate    |25000               |5,96                |
|NHibernateUpdate    |25000               |7,25                |
|NHibernateUpdate    |25000               |7,96                |
|NHibernateUpdate    |25000               |6,54                |
|NHibernateUpdate    |25000               |7,17                |
|NHibernateUpdate    |25000               |8,08                |
|NHibernateUpdate    |25000               |6,61                |
|NHibernateUpdate    |25000               |8,03                |
|NHibernateUpdate    |25000               |6,4                 |
|NHibernateUpdate    |25000               |7,71                |
|NHibernateUpdate    |25000               |7,33                |
|NHibernateUpdate    |25000               |8,47                |
|NHibernateUpdate    |25000               |7,43                |
|NHibernateUpdate    |25000               |8,07                |
|NHibernateUpdate    |25000               |6,6                 |
|NHibernateUpdate    |25000               |7,43                |
|NHibernateUpdate    |25000               |5,72                |
|NHibernateUpdate    |25000               |6,87                |
|NHibernateUpdate    |25000               |7,81                |
|NHibernateUpdate    |25000               |7,72                |
|NHibernateUpdate    |25000               |7,5                 |
|NHibernateUpdate    |25000               |8,09                |
|NHibernateUpdate    |25000               |7,2                 |
|NHibernateUpdate    |25000               |7,65                |
|NHibernateUpdate    |25000               |6,17                |
|NHibernateUpdate    |25000               |8,14                |
|NHibernateUpdate    |25000               |7,81                |
|NHibernateUpdate    |25000               |7,62                |
|NHibernateUpdate    |25000               |7,03                |
|NHibernateUpdate    |25000               |7,27                |
|NHibernateUpdate    |25000               |8,17                |
|NHibernateUpdate    |25000               |6,93                |
|NHibernateUpdate    |25000               |7,94                |
|NHibernateUpdate    |25000               |6,73                |
|NHibernateUpdate    |25000               |7,75                |
|NHibernateUpdate    |25000               |8,65                |
|NHibernateUpdate    |25000               |7,2                 |
|NHibernateUpdate    |25000               |6,71                |
|NHibernateUpdate    |25000               |7,06                |
|NHibernateUpdate    |25000               |8,71                |
|NHibernateUpdate    |25000               |8,5                 |
|NHibernateUpdate    |25000               |6,94                |
|NHibernateUpdate    |25000               |6,88                |
|NHibernateUpdate    |25000               |7,17                |
|NHibernateUpdate    |25000               |7,49                |
|NHibernateUpdate    |25000               |7,09                |
|NHibernateUpdate    |25000               |6,71                |
|NHibernateUpdate    |25000               |7                   |
|NHibernateUpdate    |25000               |7,16                |
|NHibernateUpdate    |25000               |6,66                |
|NHibernateUpdate    |25000               |7,62                |
|NHibernateUpdate    |25000               |6,85                |
|NHibernateUpdate    |25000               |7,9                 |
|NHibernateUpdate    |25000               |7,77                |
|NHibernateUpdate    |25000               |7,11                |
|NHibernateUpdate    |25000               |7,58                |
|NHibernateUpdate    |25000               |8,24                |
|NHibernateUpdate    |25000               |7,21                |
|NHibernateUpdate    |25000               |7,95                |
|NHibernateUpdate    |25000               |6,97                |
|NHibernateUpdate    |25000               |7,33                |
|NHibernateUpdate    |25000               |7,88                |
|NHibernateUpdate    |25000               |7,47                |
|NHibernateUpdate    |25000               |7,51                |
|NHibernateUpdate    |25000               |6,55                |
|NHibernateUpdate    |25000               |6,92                |
|NHibernateUpdate    |25000               |7,05                |
|NHibernateUpdate    |25000               |7,58                |
|NHibernateUpdate    |25000               |6,01                |
|NHibernateUpdate    |25000               |6,68                |
|NHibernateUpdate    |25000               |7,22                |
|NHibernateUpdate    |25000               |8,09                |
|NHibernateUpdate    |25000               |8,03                |
|NHibernateUpdate    |25000               |7,86                |
|NHibernateUpdate    |25000               |7,47                |
